"","Condition","Timepoint","Replicate","Clutch","Cells","Area_pixel","CPPixel","ppmicron","Area_micron","CPMicron","CPMm"
"1","uninjured","72hpa",1,20720,13,10566.708,0.001230279,1.54,4455.518637,0.00291773,2.917729912
"2","uninjured","72hpa",2,20720,14,9898.202,0.001414398,1.54,4173.638894,0.003354387,3.354386989
"3","uninjured","72hpa",3,20720,13,11149.927,0.001165927,1.54,4701.436583,0.002765112,2.765112274
"4","uninjured","72hpa",4,20720,18,12215.739,0.001473509,1.54,5150.842891,0.003494574,3.494573681
"5","uninjured","72hpa",5,20720,10,11060.069,0.000904153,1.54,4663.547394,0.00214429,2.14429042
"6","uninjured","72hpa",6,20720,20,11323.703,0.001766207,1.54,4774.710322,0.004188736,4.188735787
"7","uninjured","72hpa",7,20720,10,9007.202,0.001110223,1.54,3797.943161,0.002633004,2.633004123
"8","uninjured","24hpa",1,20720,3,7825.86,0.000383344,1.54,3299.822904,0.00090914,0.909139698
"9","uninjured","24hpa",2,20720,6,8930.271,0.000671872,1.54,3765.504723,0.001593412,1.593411891
"10","uninjured","24hpa",3,20720,5,8566.617,0.000583661,1.54,3612.167735,0.00138421,1.38421036
"11","uninjured","24hpa",4,20720,3,8343.584,0.000359558,1.54,3518.124473,0.000852727,0.852727077
